9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
623,Walla Walla,071,99324,"September 16, 2020",8154.142,8193.787,8265.249,8363.1,8504.644,8681.812,8765.017,8895.863,8992.764,9119.037,9202,9211.019,9276.757,9307.356,9453.543,9503.414,9634.575,9829.779,9956.814,10028.528,10143.686,1047.858,0.12851,941.686,0.10233
624,Walla Walla,071,99329,"September 16, 2020",209.503,202.938,197.25,192.226,188.18,184.827,179.433,175.01,169.904,165.345,160,159.647,160.277,160.043,157.398,155.125,156.717,148.578,137.969,137.282,137.373,-49.503,(   23.629%),-22.627,(   14.142%)
625,Walla Walla,071,99348,"September 16, 2020",1701.216,1652.64,1611.172,1575.088,1547.028,1524.745,1485.648,1454.599,1417.879,1385.742,1347,1347.388,1355.02,1357.359,1352.964,1338.495,1318.216,1333.427,1334.586,1333.838,1327.285,-354.216,(   20.821%),-19.715,(    1.464%)
626,Walla Walla,071,99360,"September 16, 2020",1154.147,1164.463,1179.271,1197.81,1222.621,1252.607,1269.077,1292.438,1310.872,1333.608,1350,1358.986,1374.907,1385.77,1384.869,1387.221,1394.773,1438.64,1480.506,1502.958,1514.482,195.853,0.1697,164.482,0.12184
627,Walla Walla,071,99361,"September 16, 2020",1794.084,1781.707,1776.497,1777.064,1786.82,1803.813,1801.161,1808.292,1808.478,1814.55,1812,1817.93,1825.862,1839.071,1840.934,1848.165,1837.643,1844.434,1842.066,1846.665,1868.556,17.916,0.00999,56.556,0.03121
628,Walla Walla,071,99362,"September 16, 2020",38294.433,38261.754,38380.243,38622.301,39065.308,39669.233,39842.574,40232.456,40468.407,40836.128,41010,40990.026,41157.456,41481.099,41990.974,42491.511,42483.076,42821.501,43051.084,43329.379,43553.227,2715.567,0.07091,2543.227,0.06201
629,Walla Walla,071,99363,"September 16, 2020",235.03,231.292,228.5,226.467,225.595,225.624,223.157,221.911,219.827,218.426,216,215.631,216.291,215.668,213.192,208.459,205.839,207.427,207.503,205.746,205.859,-19.03,(    8.097%),-10.141,(    4.695%)
630,Whatcom,073,98220,"September 16, 2020",638.826,641.052,639.882,633.293,635.82,639.81,645.005,650.272,646.065,640.987,634,639.774,641.921,643.064,645.789,648.492,652.473,656.771,646.727,657.705,663.886,-4.826,(    0.755%),29.886,0.04714
631,Whatcom,073,98225,"September 16, 2020",42408.4,42966.381,43297.62,43258.21,43839.267,44526.602,45303.761,46093.752,46213.626,46265.246,46172,46302.623,46485.525,47043.987,47186.711,47355.764,47551.13,48576.44,49211.768,49878.809,50192.598,3763.6,0.08875,4020.598,0.08708
632,Whatcom,073,98226,"September 16, 2020",30600.158,31797.878,32830.474,33573.75,34794.812,36109.268,37508.581,38931.963,39792.086,40583.462,41235,41377.753,41508.184,41837.318,42135.805,42810.275,43537.97,44351.874,45442.33,46573.167,47376.659,10634.842,0.34754,6141.659,0.14894
633,Whatcom,073,98229,"September 16, 2020",25410.574,25981.558,26416.145,26622.141,27208.886,27864.221,28579.398,29306.693,29608.644,29863.997,30022,29960.078,30009.345,30128.395,30283.48,30550.866,30998.405,31410.833,31962.65,32497.18,32695.813,4611.426,0.18148,2673.813,0.08906
634,Whatcom,073,98230,"September 16, 2020",10761.17,11303.854,11788.117,12167.291,12719.093,13306.252,13926.355,14557.231,14977.686,15371.148,15710,15877.595,16048.158,16175.156,16407.01,16604.01,16792.396,17161.46,17536.52,18068.769,18263.048,4948.83,0.45988,2553.048,0.16251
635,Whatcom,073,98237,"September 16, 2020",0,0.1,0.201,0.298,0.399,0.503,0.609,0.716,0.814,0.909,1,1.003,1.008,1.012,1.039,1.05,1.066,1.086,1.101,1.146,1.151,1,0,0.151,0.151
636,Whatcom,073,98240,"September 16, 2020",2787.578,2826.873,2851.252,2851.196,2892.031,2939.897,2993.739,3048.472,3058.891,3064.762,3061,3078.044,3091.656,3056.988,3123.906,3155.783,3190.339,3225.623,3253.838,3316.028,3341.941,273.422,0.09809,280.941,0.09178
637,Whatcom,073,98244,"September 16, 2020",2477.368,2540.472,2590.268,2617.565,2682.266,2753.798,2831.377,2910.262,2946.927,2978.874,3001,3055.227,3081.207,3107.096,3120.424,3146.744,3192.941,3239.187,3277.671,3356.827,3409.518,523.632,0.21137,408.518,0.13613
638,Whatcom,073,98247,"September 16, 2020",7885.075,8037.755,8148.157,8188.297,8345.656,8523.799,8719.877,8919.27,8989.117,9045.122,9072,9138.628,9190.207,9273.082,9343.387,9431.284,9527.45,9649.137,9825.52,10052.576,10168.8,1186.925,0.15053,1096.8,0.1209
639,Whatcom,073,98248,"September 16, 2020",18502.799,18968.78,19335.384,19534.126,20012.036,20540.939,21114.701,21698.197,21966.934,22200.511,22361,22534.81,22859.947,23395.248,23873.269,24250.059,24736.276,25128.148,25502.01,26457.142,26868.824,3858.201,0.20852,4507.824,0.20159
640,Whatcom,073,98262,"September 16, 2020",822.01,839.758,853.097,859.061,877.315,897.769,920.146,942.897,951.965,959.541,964,971.631,978.118,986.915,991.366,1002.252,1014.973,1032.545,1060.654,1092.62,1104.257,141.99,0.17274,140.257,0.14549
641,Whatcom,073,98264,"September 16, 2020",16469.346,16782.65,17007.7,17086.142,17409.197,17775.552,18179.237,18589.71,18730.212,18841.886,18893,18994.705,19295.847,19700.839,19937.12,20189.507,20537.383,20854.037,21416.409,21804.675,22115.99,2423.654,0.14716,3222.99,0.17059
642,Whatcom,073,98266,"September 16, 2020",2703.364,2809.105,2900.238,2965.808,3073.597,3189.623,3313.147,3438.805,3514.687,3584.521,3642,3671.823,3688.583,3704.055,3746.262,3781.463,3820.802,3905.86,3974.556,4080.637,4183.253,938.636,0.34721,541.253,0.14861
643,Whatcom,073,98276,"September 16, 2020",296.543,313.213,328.269,340.383,357.319,375.263,394.162,413.388,426.641,439.111,450,447.131,456.136,474.924,475.734,478.438,487.565,485.106,492.785,541.514,543.614,153.457,0.51749,93.614,0.20803
644,Whatcom,073,98281,"September 16, 2020",1308.011,1314.169,1313.352,1301.412,1308.184,1318,1330.319,1342.815,1335.753,1326.868,1314,1365.871,1417.473,1461.395,1487.509,1526.053,1564.925,1599.674,1660.653,1741.814,1796.033,5.989,0.00458,482.033,0.36684
645,Whatcom,073,98283,"September 16, 2020",85.002,84.759,84.069,82.668,82.459,82.436,82.56,82.683,81.603,80.416,79,79.1,79.271,79.415,80.86,81.258,81.844,82.578,83.214,84.876,85.121,-6.002,(    7.061%),6.121,0.07748
646,Whatcom,073,98284,"September 16, 2020",1522.018,1588.528,1646.807,1690.5,1758.222,1830.727,1907.64,1985.876,2035.386,2081.329,2120,2146.843,2163.957,2173.942,2183.045,2202.334,2218.808,2241.398,2266.145,2324.45,2348.803,597.982,0.39289,228.803,0.10793
647,Whatcom,073,98295,"September 16, 2020",2128.758,2165.942,2191.72,2198.644,2237.06,2280.99,2329.678,2379.165,2394.097,2405.391,2409,2457.361,2503.457,2557.169,2577.284,2574.368,2633.254,2698.243,2735.449,2770.065,2840.691,280.242,0.13165,431.691,0.1792
648,Whatcom,073,98862,"September 16, 2020",19,17.173,15.248,13.215,11.381,9.551,7.708,5.833,3.866,1.919,0,0,0,0,0,0,0,0,0,0,0,-19,(  100.000%),0,0
649,Whitman,075,99004,"September 16, 2020",11.014,10.851,10.867,10.749,10.835,10.939,10.926,10.809,11.027,10.911,11,10.928,10.912,13.079,12.876,12.699,12.93,13.02,13.085,13.119,13.119,-0.014,(    0.127%),2.119,0.19264
650,Whitman,075,99017,"September 16, 2020",206.275,198.765,194.616,188.097,185.176,182.499,177.788,171.472,170.416,164.152,161,170.549,170.312,170.863,170.818,170.508,171.961,172.178,172.216,172.461,172.392,-45.275,(   21.949%),11.392,0.07076
651,Whitman,075,99033,"September 16, 2020",931.234,912.836,909.661,895.23,897.908,902.059,896.291,882.212,895.393,881.349,884,884.006,893.591,878.917,883.137,892.716,890.091,881.016,881.428,881.529,881.073,-47.234,(    5.072%),-2.927,(    0.331%)
652,Whitman,075,99102,"September 16, 2020",470.277,466.268,469.966,467.802,474.554,482.179,484.557,482.376,495.145,492.907,500,479.235,470.67,474.975,479.243,479.304,470.706,466.388,474.978,474.946,474.944,29.723,0.0632,-25.056,(    5.011%)
653,Whitman,075,99111,"September 16, 2020",4152.493,4080.8,4077.082,4022.775,4045.291,4074.66,4059.333,4006.236,4076.993,4023.893,4047,4038.84,4026.244,4027.355,4013.355,4035.725,4065.226,4074.806,4108.756,4122.39,4136.722,-105.493,(    2.540%),89.722,0.02217
654,Whitman,075,99113,"September 16, 2020",738.603,729.912,733.32,727.594,735.754,745.225,746.561,740.894,758.182,752.47,761,766.44,758.895,765.869,768.096,772.112,786.316,798.83,807.332,813.078,815.717,22.397,0.03032,54.717,0.0719
655,Whitman,075,99125,"September 16, 2020",650.869,629.038,617.839,599.071,591.777,585.292,572.305,554.113,552.958,534.902,527,529.639,533.586,535.181,540.116,537.828,542.393,548.397,549.356,550.466,550.202,-123.869,(   19.031%),23.202,0.04403
656,Whitman,075,99128,"September 16, 2020",289.386,283.996,283.333,279.157,280.329,281.954,280.487,276.421,280.883,276.825,278,279.818,279.389,280.262,287.303,286.798,294.716,291.957,290.309,290.436,290.12,-11.386,(    3.935%),12.12,0.0436
657,Whitman,075,99130,"September 16, 2020",864.15,847.829,845.647,832.994,836.25,840.891,836.304,823.938,837.048,824.72,828,829.853,830.113,836.395,838.183,837.7,842.695,848.41,849.608,857.427,862.171,-36.15,(    4.183%),34.171,0.04127
658,Whitman,075,99136,"September 16, 2020",34.354,33.321,32.846,31.965,31.703,31.482,30.914,30.062,30.135,29.289,29,28.585,28.521,27.236,25.045,25.008,25.609,25.845,26.017,26.101,25.376,-5.354,(   15.585%),-3.624,(   12.497%)
659,Whitman,075,99143,"September 16, 2020",727.638,709.247,702.74,687.572,685.558,684.58,676.062,661.32,666.972,652.301,650,647.897,646.991,648.981,656.537,658.328,660.293,657.78,665.03,665.257,662.52,-77.638,(   10.670%),12.52,0.01926
660,Whitman,075,99149,"September 16, 2020",214.281,210.502,210.227,207.341,208.422,209.849,208.978,206.159,209.711,206.896,208,209.965,209.954,209.963,209.934,204.925,205.069,205.126,205.167,205.18,205.18,-6.281,(    2.931%),-2.82,(    1.356%)
661,Whitman,075,99158,"September 16, 2020",623.831,612.567,611.515,602.88,605.771,609.657,606.867,598.428,608.493,600.066,603,604.926,604.532,603.332,603.26,609.85,611.055,612.112,617.139,631.078,635.012,-20.831,(    3.339%),32.012,0.05309
662,Whitman,075,99161,"September 16, 2020",1430.503,1406.395,1405.684,1387.533,1395.887,1406.596,1401.886,1384.136,1409.169,1391.417,1400,1411.039,1428.057,1435.577,1445.746,1449.279,1476.344,1493.5,1505.951,1527.129,1541.483,-30.503,(    2.132%),141.483,0.10106
663,Whitman,075,99163,"September 16, 2020",26589.618,26672.22,27191.388,27368.475,28065.91,28821.179,29264.704,29429.178,30508.871,30666.755,31404,31433.282,32603.279,32615.265,33062.793,33769.319,34344.157,34993.793,35473.181,36309.984,36614.666,4814.382,0.18106,5210.666,0.16592
664,Whitman,075,99164,"September 16, 2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,Whitman,075,99170,"September 16, 2020",1002.338,972.313,958.662,933.24,925.689,919.465,903.052,878.39,880.762,856.253,848,850.113,849.614,853.066,853.842,858.197,863.871,865.724,867.401,871.349,873.374,-154.338,(   15.398%),25.374,0.02992
666,Whitman,075,99171,"September 16, 2020",1028.369,1006.345,1001.145,983.562,984.787,987.587,979.532,962.402,974.986,957.928,959,941.872,918.156,919.753,925.985,927.418,940.012,947.309,951.865,952.837,962.742,-69.369,(    6.746%),3.742,0.0039
667,Whitman,075,99174,"September 16, 2020",52.069,50.507,49.79,48.464,48.068,47.737,46.881,45.595,45.712,44.434,44,43.713,43.564,43.582,43.606,43.514,44.676,45.132,45.464,49.09,49.095,-8.069,(   15.497%),5.095,0.1158
668,Whitman,075,99176,"September 16, 2020",172.576,167.31,164.858,160.383,158.984,157.809,154.884,150.544,150.839,146.531,145,145.773,145.516,146.137,146.043,145.2,150.977,151.31,152.26,152.595,150.53,-27.576,(   15.979%),5.53,0.03814
669,Whitman,075,99179,"September 16, 2020",505.046,490.884,484.964,473.083,470.255,468.117,460.814,449.276,451.577,440.117,437,442.208,446.989,462.896,482.745,482.55,485.571,491.616,497.451,507.708,507.719,-68.046,(   13.473%),70.719,0.16183
670,Whitman,075,99333,"September 16, 2020",34.046,33.539,33.587,33.222,33.49,33.815,33.77,33.41,34.084,33.723,34,33.401,33.298,33.47,33.484,33.19,37.162,37.452,37.61,37.484,37.486,-0.046,(    0.135%),3.486,0.10253
671,Whitman,075,99347,"September 16, 2020",11.03,11.555,12.263,12.811,13.602,14.429,15.104,15.629,16.644,17.161,18,17.918,17.817,17.846,17.853,17.832,18.17,18.299,18.396,18.356,18.357,6.97,0.63191,0.357,0.01983
672,Yakima,077,98901,"September 16, 2020",28621.186,28716.529,28673.756,28963.481,29110.406,29238.858,29443.721,29649.185,29864.979,30028.461,30110,30195.111,30392.437,30531.089,30841.626,31548.802,32297.401,32885.567,33113.901,33393.116,33622.949,1488.814,0.05202,3512.949,0.11667
673,Yakima,077,98902,"September 16, 2020",43039.633,43287.356,43325.835,43866.524,44191.355,44488.188,44901.21,45315.661,45746.311,46097.127,46322,46503.665,46609.763,46775.153,46976.74,47021.549,47005.384,47323.399,47456.025,47469.005,47924.177,3282.367,0.07626,1602.177,0.03459
674,Yakima,077,98903,"September 16, 2020",13105.072,13221.686,13274.024,13480.17,13620.172,13751.509,13918.799,14086.699,14259.797,14408.111,14517,14603.263,14710.224,14804.123,14852.56,14894.555,14781.985,14864.091,14999.656,15120.232,15294.187,1411.928,0.10774,777.187,0.05354
675,Yakima,077,98908,"September 16, 2020",31306.748,31641.265,31821.487,32370.297,32760.575,33129.96,33586.036,34043.785,34514.299,34924.983,35240,35423.783,35587.777,35975.642,36149.984,36234.219,36185.54,36460.045,36644.693,36748.737,37239.226,3933.252,0.12564,1999.226,0.05673
676,Yakima,077,98921,"September 16, 2020",374.019,387.497,399.006,415.122,429.247,443.094,458.108,473.182,488.467,502.932,516,519.855,505.976,508.578,507.745,505.68,504.87,505.077,505.227,513.811,516.459,141.981,0.37961,0.459,0.00089
677,Yakima,077,98923,"September 16, 2020",1519.948,1508.552,1490.025,1488.808,1480.169,1470.611,1464.86,1459.086,1453.758,1445.836,1434,1444.301,1449.211,1437.541,1441.515,1451.106,1439.877,1452.849,1457.862,1474.232,1474.603,-85.948,(    5.655%),40.603,0.02831
678,Yakima,077,98929,"September 16, 2020",0,0,0,0,0,0,0,0,0,0,0,2.664,2.669,2.665,2.666,2.664,2.636,2.647,2.648,2.651,2.652,0,0,2.652,0
679,Yakima,077,98930,"September 16, 2020",12131.349,12331.182,12470.323,12753.788,12975.103,13188.101,13435.684,13684.194,13938.095,14168.017,14359,14438.05,14545.868,14564.928,14734.819,14753.044,14667.579,14697.184,14720.182,14750.858,14777.82,2227.651,0.18363,418.82,0.02917
680,Yakima,077,98932,"September 16, 2020",4359.926,4418.916,4456.261,4545.207,4611.935,4675.729,4751.761,4828.082,4906.249,4975.956,5032,5067.816,5082.757,5131.588,5331.478,5470.862,5700.296,5740.439,5783.521,5914.823,6023.946,672.074,0.15415,991.946,0.19713
681,Yakima,077,98933,"September 16, 2020",1158.029,1166.76,1169.835,1186.456,1197.254,1207.296,1220.481,1233.724,1247.412,1258.923,1267,1273.218,1294.247,1288.558,1288.762,1295.916,1293.712,1305.865,1316.093,1321.671,1328.565,108.971,0.0941,61.565,0.04859
682,Yakima,077,98935,"September 16, 2020",3934.916,3953.072,3952.171,3997.067,4022.277,4044.949,4078.161,4111.511,4146.306,4173.851,4190,4216.07,4250.602,4278.271,4298.439,4298.491,4271.983,4297.217,4304.995,4316.445,4298.661,255.084,0.06483,108.661,0.02593
683,Yakima,077,98936,"September 16, 2020",3376.062,3618.94,3842.433,4110.088,4358.561,4604.125,4861.974,5120.805,5382.334,5635.049,5872,6000.683,6111.406,6200.658,6280.746,6335.393,6418.473,6503.34,6509.795,6627.86,6834.884,2495.938,0.7393,962.884,0.16398
684,Yakima,077,98937,"September 16, 2020",4272.143,4248.225,4204.19,4208.951,4192.788,4174,4166.05,4158.055,4151.351,4137.284,4112,4177.143,4211.04,4212.297,4259.781,4282.36,4272.748,4316.989,4434.262,4489.204,4523.645,-160.143,(    3.749%),411.645,0.10011
685,Yakima,077,98938,"September 16, 2020",1790.688,1825.931,1852.135,1899.755,1938.151,1975.304,2017.637,2060.132,2103.456,2143.176,2177,2192.4,2213.763,2205.775,2225.735,2229.873,2239.351,2252.706,2267.466,2278.718,2295.13,386.312,0.21573,118.13,0.05426
686,Yakima,077,98939,"September 16, 2020",387.218,364.518,340.265,319.998,298.041,275.911,254.475,232.953,211.415,189.446,167,167.328,167.602,173.289,177.269,179.69,178.117,178.739,181.01,184.671,190.698,-220.218,(   56.872%),23.698,0.1419
687,Yakima,077,98942,"September 16, 2020",15429.545,15554.973,15604.896,15835.632,15988.61,16131.446,16316.442,16502.088,16693.798,16856.452,16973,17129.847,17280.788,17343.548,17448.948,17347.903,17314.024,17522.466,17773.476,18003.73,18139.289,1543.455,0.10003,1166.289,0.06871
688,Yakima,077,98944,"September 16, 2020",20052.9,20207.141,20263.364,20554.41,20744.477,20921.387,21152.957,21385.375,21625.574,21828.139,21971,22152.443,22248.658,22336.518,22382.524,22444.443,22642.643,22790.919,23006.333,23202.436,23428.981,1918.1,0.09565,1457.981,0.06636
689,Yakima,077,98947,"September 16, 2020",2721.462,2734.432,2734.197,2765.677,2783.527,2799.613,2823.002,2846.48,2870.958,2890.426,2902,2927.106,2941,2996.89,3020.416,3027.079,3047.992,3079.709,3092.283,3101.112,3119.314,180.538,0.06634,217.314,0.07488
690,Yakima,077,98948,"September 16, 2020",13236.078,13210.409,13121.734,13185.338,13183.559,13173.499,13197.719,13222.01,13250.605,13255.825,13225,13249.663,13272.524,13288.792,13306.433,13326.828,13387.563,13453.442,13478.68,13506.332,13552.761,-11.078,(    0.084%),327.761,0.02478
691,Yakima,077,98951,"September 16, 2020",13374.453,13386.043,13333.447,13435.513,13471.144,13498.298,13560.609,13623.145,13690.257,13733.346,13739,13812.642,13857.465,13879.947,13905.088,13937.664,13895.914,13954.332,13969.163,14010.846,14035.234,364.547,0.02726,296.234,0.02156
692,Yakima,077,98952,"September 16, 2020",2683.127,2642.897,2590.367,2567.955,2532.631,2495.759,2465.324,2434.77,2404.866,2370.627,2330,2346.788,2356.164,2362.747,2363.482,2367.199,2354.528,2368.162,2375.936,2377.992,2383.061,-353.127,(   13.161%),53.061,0.02277
693,Yakima,077,98953,"September 16, 2020",5671.496,5761.75,5823.644,5952.951,6053.23,6149.641,6262.16,6375.113,6490.565,6594.833,6681,6760.976,6812.844,6856.315,6908.583,6920.395,6904.133,6948.291,7010.23,7044.963,7098.09,1009.504,0.178,417.09,0.06243
694,Yakima,077,99350,"September 16, 2020",28.002,34.637,41.051,47.929,54.602,61.236,68.037,74.865,81.745,88.499,95,95.185,95.215,95.088,94.661,94.285,93.251,96.525,96.563,96.555,95.668,66.998,2.39261,0.668,0.00703
695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,The 2000 estimates are based on an allocation of 2000 census block values to 2010 census blocks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,The 2001-2009 estimates are consistent with OFM April 1 2001-2009 intercensal estimates at the county level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,The 2010 estimates are based on actual 2010 census block values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,The 2011-2020 estimates are consistent with OFM April 1 postcensal estimates at the county level.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,File prepared on 2020_09_16.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
